date,stop_id,daily_demand
2026-01-19,SYN002,1509.27
2026-01-19,SYN005,1789.07
2026-01-19,SYN013,2077.95
2026-01-19,SYN016,2779.11
2026-01-19,SYN049,1478.27
2026-01-20,SYN002,1515.44
2026-01-20,SYN005,1823.16
2026-01-20,SYN013,2081.41
2026-01-20,SYN016,2815.0
2026-01-20,SYN049,1444.97
2026-01-21,SYN002,1503.15
2026-01-21,SYN005,1778.05
2026-01-21,SYN013,2066.67
2026-01-21,SYN016,2788.44
2026-01-21,SYN049,1449.7
2026-01-22,SYN002,1513.13
2026-01-22,SYN005,1821.55
2026-01-22,SYN013,2077.47
2026-01-22,SYN016,2800.07
2026-01-22,SYN049,1451.88
2026-01-23,SYN002,1525.49
2026-01-23,SYN005,1793.45
2026-01-23,SYN013,2078.77
2026-01-23,SYN016,2779.63
2026-01-23,SYN049,1469.01
2026-01-24,SYN002,1059.5
2026-01-24,SYN005,1290.36
2026-01-24,SYN013,1463.13
2026-01-24,SYN016,1962.97
2026-01-24,SYN049,1019.07
2026-01-25,SYN002,1055.72
2026-01-25,SYN005,1260.31
2026-01-25,SYN013,1440.81
2026-01-25,SYN016,1964.39
2026-01-25,SYN049,1002.76
2026-01-26,SYN002,1494.64
2026-01-26,SYN005,1828.58
2026-01-26,SYN013,2073.26
2026-01-26,SYN016,2796.31
2026-01-26,SYN049,1442.69
2026-01-27,SYN002,1519.66
2026-01-27,SYN005,1827.01
2026-01-27,SYN013,2082.05
2026-01-27,SYN016,2848.95
2026-01-27,SYN049,1440.64
2026-01-28,SYN002,1518.6
2026-01-28,SYN005,1815.5
2026-01-28,SYN013,2111.44
2026-01-28,SYN016,2878.07
2026-01-28,SYN049,1477.73
2026-01-29,SYN002,1536.56
2026-01-29,SYN005,1816.0
2026-01-29,SYN013,2102.65
2026-01-29,SYN016,2800.02
2026-01-29,SYN049,1484.36
2026-01-30,SYN002,1514.39
2026-01-30,SYN005,1846.9
2026-01-30,SYN013,2059.22
2026-01-30,SYN016,2831.69
2026-01-30,SYN049,1455.59
2026-01-31,SYN002,1074.97
2026-01-31,SYN005,1285.07
2026-01-31,SYN013,1486.04
2026-01-31,SYN016,1993.88
2026-01-31,SYN049,1009.32
2026-02-01,SYN002,1059.79
2026-02-01,SYN005,1270.86
2026-02-01,SYN013,1463.23
2026-02-01,SYN016,1915.99
2026-02-01,SYN049,1021.98
2026-02-02,SYN002,1540.61
2026-02-02,SYN005,1826.67
2026-02-02,SYN013,2131.8
2026-02-02,SYN016,2803.74
2026-02-02,SYN049,1486.87
2026-02-03,SYN002,1506.24
2026-02-03,SYN005,1854.12
2026-02-03,SYN013,2083.8
2026-02-03,SYN016,2840.14
2026-02-03,SYN049,1449.48
2026-02-04,SYN002,1551.08
2026-02-04,SYN005,1837.82
2026-02-04,SYN013,2128.36
2026-02-04,SYN016,2859.26
2026-02-04,SYN049,1475.0
2026-02-05,SYN002,1525.66
2026-02-05,SYN005,1811.95
2026-02-05,SYN013,2050.48
2026-02-05,SYN016,2893.5
2026-02-05,SYN049,1479.85
2026-02-06,SYN002,1530.86
2026-02-06,SYN005,1810.69
2026-02-06,SYN013,2099.04
2026-02-06,SYN016,2800.65
2026-02-06,SYN049,1494.55
2026-02-07,SYN002,1065.55
2026-02-07,SYN005,1280.05
2026-02-07,SYN013,1455.95
2026-02-07,SYN016,1944.59
2026-02-07,SYN049,1030.19
2026-02-08,SYN002,1074.69
2026-02-08,SYN005,1279.06
2026-02-08,SYN013,1468.39
2026-02-08,SYN016,1983.9
2026-02-08,SYN049,1036.17
2026-02-09,SYN002,1522.3
2026-02-09,SYN005,1807.88
2026-02-09,SYN013,2101.85
2026-02-09,SYN016,2830.4
2026-02-09,SYN049,1466.65
2026-02-10,SYN002,1535.14
2026-02-10,SYN005,1829.42
2026-02-10,SYN013,2076.24
2026-02-10,SYN016,2824.12
2026-02-10,SYN049,1491.15
2026-02-11,SYN002,1527.74
2026-02-11,SYN005,1788.09
2026-02-11,SYN013,2117.35
2026-02-11,SYN016,2849.32
2026-02-11,SYN049,1455.29
2026-02-12,SYN002,1523.52
2026-02-12,SYN005,1791.81
2026-02-12,SYN013,2109.18
2026-02-12,SYN016,2847.14
2026-02-12,SYN049,1490.62
2026-02-13,SYN002,1531.65
2026-02-13,SYN005,1790.95
2026-02-13,SYN013,2119.43
2026-02-13,SYN016,2857.13
2026-02-13,SYN049,1468.87
2026-02-14,SYN002,1073.06
2026-02-14,SYN005,1279.84
2026-02-14,SYN013,1495.84
2026-02-14,SYN016,1983.07
2026-02-14,SYN049,1037.22
2026-02-15,SYN002,1087.33
2026-02-15,SYN005,1272.96
2026-02-15,SYN013,1453.22
2026-02-15,SYN016,1982.15
2026-02-15,SYN049,1024.31
2026-02-16,SYN002,1541.0
2026-02-16,SYN005,1816.94
2026-02-16,SYN013,2065.77
2026-02-16,SYN016,2880.11
2026-02-16,SYN049,1472.17
2026-02-17,SYN002,1515.75
2026-02-17,SYN005,1838.09
2026-02-17,SYN013,2095.18
2026-02-17,SYN016,2831.11
2026-02-17,SYN049,1498.88
2026-02-18,SYN002,1540.8
2026-02-18,SYN005,1844.85
2026-02-18,SYN013,2152.31
2026-02-18,SYN016,2885.99
2026-02-18,SYN049,1470.03
2026-02-19,SYN002,1526.06
2026-02-19,SYN005,1817.03
2026-02-19,SYN013,2067.67
2026-02-19,SYN016,2858.09
2026-02-19,SYN049,1483.31
2026-02-20,SYN002,1538.62
2026-02-20,SYN005,1824.81
2026-02-20,SYN013,2094.69
2026-02-20,SYN016,2825.11
2026-02-20,SYN049,1513.17
2026-02-21,SYN002,1091.25
2026-02-21,SYN005,1285.87
2026-02-21,SYN013,1442.83
2026-02-21,SYN016,2002.78
2026-02-21,SYN049,1034.2
2026-02-22,SYN002,1074.86
2026-02-22,SYN005,1278.56
2026-02-22,SYN013,1435.18
2026-02-22,SYN016,1996.37
2026-02-22,SYN049,1020.29
2026-02-23,SYN002,1525.72
2026-02-23,SYN005,1858.6
2026-02-23,SYN013,2080.93
2026-02-23,SYN016,2838.19
2026-02-23,SYN049,1483.79
2026-02-24,SYN002,1528.9
2026-02-24,SYN005,1823.87
2026-02-24,SYN013,2104.58
2026-02-24,SYN016,2846.94
2026-02-24,SYN049,1483.27
2026-02-25,SYN002,1576.82
2026-02-25,SYN005,1795.43
2026-02-25,SYN013,2118.42
2026-02-25,SYN016,2834.51
2026-02-25,SYN049,1462.27
2026-02-26,SYN002,1507.3
2026-02-26,SYN005,1834.6
2026-02-26,SYN013,2093.72
2026-02-26,SYN016,2850.27
2026-02-26,SYN049,1479.66
2026-02-27,SYN002,1561.55
2026-02-27,SYN005,1836.69
2026-02-27,SYN013,2105.7
2026-02-27,SYN016,2859.32
2026-02-27,SYN049,1491.83
2026-02-28,SYN002,1081.97
2026-02-28,SYN005,1295.42
2026-02-28,SYN013,1490.18
2026-02-28,SYN016,1972.62
2026-02-28,SYN049,1025.61
2026-03-01,SYN002,1088.13
2026-03-01,SYN005,1300.1
2026-03-01,SYN013,1436.3
2026-03-01,SYN016,2009.95
2026-03-01,SYN049,1046.0
