stop_id,hour,demand_proxy
SYN006,23,2.4
SYN007,0,9.6
SYN007,1,11.78
SYN007,2,13.92
SYN007,3,15.97
SYN007,4,17.91
SYN007,5,19.7
SYN007,6,21.29
SYN007,7,22.67
SYN007,8,23.81
SYN007,9,24.68
SYN007,10,25.27
SYN007,11,25.56
SYN007,12,25.56
SYN007,13,25.27
SYN007,14,24.68
SYN007,15,23.81
SYN007,16,22.67
SYN007,17,21.29
SYN007,18,19.7
SYN007,19,17.91
SYN007,20,15.97
SYN007,21,13.92
SYN007,22,11.78
SYN007,23,9.6
SYN008,0,8.4
SYN008,1,10.31
SYN008,2,12.18
SYN008,3,13.98
SYN008,4,15.67
SYN008,5,17.24
SYN008,6,18.63
SYN008,7,19.84
SYN008,8,20.83
SYN008,9,21.59
SYN008,10,22.11
SYN008,11,22.37
SYN008,12,22.37
SYN008,13,22.11
SYN008,14,21.59
SYN008,15,20.83
SYN008,16,19.84
SYN008,17,18.63
SYN008,18,17.24
SYN008,19,15.67
SYN008,20,13.98
SYN008,21,12.18
SYN008,22,10.31
SYN008,23,8.4
SYN009,0,17.4
SYN009,1,21.35
SYN009,2,25.22
SYN009,3,28.95
SYN009,4,32.47
SYN009,5,35.7
SYN009,6,38.59
SYN009,7,41.09
SYN009,8,43.15
SYN009,9,44.73
SYN009,10,45.79
SYN009,11,46.33
SYN009,12,46.33
SYN009,13,45.79
SYN009,14,44.73
SYN009,15,43.15
SYN009,16,41.09
SYN009,17,38.59
SYN009,18,35.7
SYN009,19,32.47
SYN009,20,28.95
SYN009,21,25.22
SYN009,22,21.35
SYN009,23,17.4
SYN010,0,4.8
SYN010,1,5.89
SYN010,2,6.96
SYN010,3,7.99
SYN010,4,8.96
SYN010,5,9.85
SYN010,6,10.65
SYN010,7,11.34
SYN010,8,11.9
SYN010,9,12.34
SYN010,10,12.63
SYN010,11,12.78
SYN010,12,12.78
SYN010,13,12.63
SYN010,14,12.34
SYN010,15,11.9
SYN010,16,11.34
SYN010,17,10.65
SYN010,18,9.85
SYN010,19,8.96
SYN010,20,7.99
SYN010,21,6.96
SYN010,22,5.89
SYN010,23,4.8
SYN011,0,2.8
SYN011,1,2.8
SYN011,2,2.8
SYN011,3,2.8
SYN011,4,2.8
SYN011,5,2.8
SYN011,6,2.8
SYN011,7,19.6
SYN011,8,19.6
SYN011,9,19.6
SYN011,10,8.4
SYN011,11,8.4
SYN011,12,8.4
SYN011,13,8.4
SYN011,14,18.2
SYN011,15,18.2
SYN011,16,18.2
SYN011,17,2.8
SYN011,18,2.8
SYN011,19,2.8
SYN011,20,2.8
SYN011,21,2.8
SYN011,22,2.8
SYN011,23,2.8
SYN012,0,4.8
SYN012,1,5.89
SYN012,2,6.96
SYN012,3,7.99
SYN012,4,8.96
SYN012,5,9.85
SYN012,6,10.65
SYN012,7,11.34
SYN012,8,11.9
SYN012,9,12.34
SYN012,10,12.63
SYN012,11,12.78
SYN012,12,12.78
SYN012,13,12.63
SYN012,14,12.34
SYN012,15,11.9
SYN012,16,11.34
SYN012,17,10.65
SYN012,18,9.85
SYN012,19,8.96
SYN012,20,7.99
SYN012,21,6.96
SYN012,22,5.89
SYN012,23,4.8
SYN013,0,42.6
SYN013,1,52.27
SYN013,2,61.76
SYN013,3,70.89
SYN013,4,79.49
SYN013,5,87.41
SYN013,6,94.49
SYN013,7,100.6
SYN013,8,105.64
SYN013,9,109.5
SYN013,10,112.11
SYN013,11,113.43
SYN013,12,113.43
SYN013,13,112.11
SYN013,14,109.5
SYN013,15,105.64
SYN013,16,100.6
SYN013,17,94.49
SYN013,18,87.41
SYN013,19,79.49
SYN013,20,70.89
SYN013,21,61.76
SYN013,22,52.27
SYN013,23,42.6
SYN014,0,10.8
SYN014,1,13.23
SYN014,2,15.48
SYN014,3,17.38
SYN014,4,18.79
SYN014,5,19.61
SYN014,6,19.78
SYN014,7,19.28
SYN014,8,18.15
SYN014,9,16.48
SYN014,10,14.39
SYN014,11,12.03
SYN014,12,9.57
SYN014,13,7.21
SYN014,14,5.12
SYN014,15,3.6
SYN014,16,3.6
SYN014,17,3.6
SYN014,18,3.6
SYN014,19,3.6
SYN014,20,4.22
SYN014,21,6.12
SYN014,22,8.37
SYN014,23,10.8
SYN015,0,1.0
SYN015,1,1.0
SYN015,2,1.0
SYN015,3,1.0
SYN015,4,1.0
SYN015,5,1.0
SYN015,6,1.0
SYN015,7,1.0
SYN015,8,1.0
SYN015,9,1.0
SYN015,10,1.0
SYN015,11,4.0
SYN015,12,4.0
SYN015,13,4.0
SYN015,14,1.0
SYN015,15,1.0
SYN015,16,1.0
SYN015,17,7.5
SYN015,18,7.5
SYN015,19,7.5
SYN015,20,7.5
SYN015,21,1.0
SYN015,22,1.0
SYN015,23,1.0
SYN016,0,57.6
SYN016,1,70.67
SYN016,2,83.5
SYN016,3,95.85
SYN016,4,107.48
SYN016,5,118.18
SYN016,6,127.76
SYN016,7,136.03
SYN016,8,142.84
SYN016,9,148.06
SYN016,10,151.59
SYN016,11,153.38
SYN016,12,153.38
SYN016,13,151.59
SYN016,14,148.06
SYN016,15,142.84
SYN016,16,136.03
SYN016,17,127.76
SYN016,18,118.18
SYN016,19,107.48
SYN016,20,95.85
SYN016,21,83.5
SYN016,22,70.67
SYN016,23,57.6
SYN017,0,14.4
SYN017,1,17.67
SYN017,2,20.88
SYN017,3,23.96
SYN017,4,26.87
SYN017,5,29.55
SYN017,6,31.94
SYN017,7,34.01
SYN017,8,35.71
SYN017,9,37.01
SYN017,10,37.9
SYN017,11,38.34
SYN017,12,38.34
SYN017,13,37.9
SYN017,14,37.01
SYN017,15,35.71
SYN017,16,34.01
SYN017,17,31.94
SYN017,18,29.55
SYN017,19,26.87
SYN017,20,23.96
SYN017,21,20.88
SYN017,22,17.67
SYN017,23,14.4
SYN018,0,8.4
SYN018,1,10.31
SYN018,2,12.18
SYN018,3,13.98
SYN018,4,15.67
SYN018,5,17.24
SYN018,6,18.63
SYN018,7,19.84
SYN018,8,20.83
SYN018,9,21.59
SYN018,10,22.11
SYN018,11,22.37
SYN018,12,22.37
SYN018,13,22.11
SYN018,14,21.59
SYN018,15,20.83
SYN018,16,19.84
SYN018,17,18.63
SYN018,18,17.24
SYN018,19,15.67
SYN018,20,13.98
SYN018,21,12.18
SYN018,22,10.31
SYN018,23,8.4
SYN019,0,22.2
SYN019,1,27.24
SYN019,2,32.18
SYN019,3,36.94
SYN019,4,41.42
SYN019,5,45.55
SYN019,6,49.24
SYN019,7,52.43
SYN019,8,55.05
SYN019,9,57.06
SYN019,10,58.43
SYN019,11,59.11
SYN019,12,59.11
SYN019,13,58.43
SYN019,14,57.06
SYN019,15,55.05
SYN019,16,52.43
SYN019,17,49.24
SYN019,18,45.55
SYN019,19,41.42
SYN019,20,36.94
SYN019,21,32.18
SYN019,22,27.24
SYN019,23,22.2
SYN020,0,9.6
SYN020,1,11.78
SYN020,2,13.92
SYN020,3,15.97
SYN020,4,17.91
SYN020,5,19.7
SYN020,6,21.29
SYN020,7,22.67
SYN020,8,23.81
SYN020,9,24.68
SYN020,10,25.27
SYN020,11,25.56
SYN020,12,25.56
SYN020,13,25.27
SYN020,14,24.68
SYN020,15,23.81
SYN020,16,22.67
SYN020,17,21.29
SYN020,18,19.7
SYN020,19,17.91
SYN020,20,15.97
SYN020,21,13.92
SYN020,22,11.78
SYN020,23,9.6
SYN021,0,4.8
SYN021,1,5.89
SYN021,2,6.96
SYN021,3,7.99
SYN021,4,8.96
SYN021,5,9.85
SYN021,6,10.65
SYN021,7,11.34
SYN021,8,11.9
SYN021,9,12.34
SYN021,10,12.63
SYN021,11,12.78
SYN021,12,12.78
SYN021,13,12.63
SYN021,14,12.34
SYN021,15,11.9
SYN021,16,11.34
SYN021,17,10.65
SYN021,18,9.85
SYN021,19,8.96
SYN021,20,7.99
SYN021,21,6.96
SYN021,22,5.89
SYN021,23,4.8
SYN022,0,10.6
SYN022,1,10.6
SYN022,2,10.6
SYN022,3,10.6
SYN022,4,10.6
SYN022,5,10.6
SYN022,6,10.6
SYN022,7,74.2
SYN022,8,74.2
SYN022,9,74.2
SYN022,10,31.8
SYN022,11,31.8
SYN022,12,31.8
SYN022,13,31.8
SYN022,14,68.9
SYN022,15,68.9
SYN022,16,68.9
SYN022,17,10.6
SYN022,18,10.6
SYN022,19,10.6
SYN022,20,10.6
SYN022,21,10.6
SYN022,22,10.6
SYN022,23,10.6
SYN023,0,4.8
SYN023,1,5.89
SYN023,2,6.96
SYN023,3,7.99
SYN023,4,8.96
SYN023,5,9.85
SYN023,6,10.65
SYN023,7,11.34
SYN023,8,11.9
SYN023,9,12.34
SYN023,10,12.63
SYN023,11,12.78
SYN023,12,12.78
SYN023,13,12.63
SYN023,14,12.34
SYN023,15,11.9
SYN023,16,11.34
SYN023,17,10.65
SYN023,18,9.85
SYN023,19,8.96
SYN023,20,7.99
SYN023,21,6.96
SYN023,22,5.89
SYN023,23,4.8
SYN024,0,14.4
SYN024,1,17.67
SYN024,2,20.88
SYN024,3,23.96
SYN024,4,26.87
SYN024,5,29.55
SYN024,6,31.94
SYN024,7,34.01
SYN024,8,35.71
SYN024,9,37.01
SYN024,10,37.9
SYN024,11,38.34
SYN024,12,38.34
SYN024,13,37.9
SYN024,14,37.01
SYN024,15,35.71
SYN024,16,34.01
SYN024,17,31.94
SYN024,18,29.55
SYN024,19,26.87
SYN024,20,23.96
SYN024,21,20.88
SYN024,22,17.67
SYN024,23,14.4
SYN025,0,4.8
SYN025,1,5.89
SYN025,2,6.96
SYN025,3,7.99
SYN025,4,8.96
SYN025,5,9.85
SYN025,6,10.65
SYN025,7,11.34
SYN025,8,11.9
SYN025,9,12.34
SYN025,10,12.63
SYN025,11,12.78
SYN025,12,12.78
SYN025,13,12.63
SYN025,14,12.34
SYN025,15,11.9
SYN025,16,11.34
SYN025,17,10.65
SYN025,18,9.85
SYN025,19,8.96
SYN025,20,7.99
SYN025,21,6.96
SYN025,22,5.89
SYN025,23,4.8
SYN026,0,4.8
SYN026,1,5.89
SYN026,2,6.96
SYN026,3,7.99
SYN026,4,8.96
SYN026,5,9.85
SYN026,6,10.65
SYN026,7,11.34
SYN026,8,11.9
SYN026,9,12.34
SYN026,10,12.63
SYN026,11,12.78
SYN026,12,12.78
SYN026,13,12.63
SYN026,14,12.34
SYN026,15,11.9
SYN026,16,11.34
SYN026,17,10.65
SYN026,18,9.85
SYN026,19,8.96
SYN026,20,7.99
SYN026,21,6.96
SYN026,22,5.89
SYN026,23,4.8
SYN027,0,4.8
SYN027,1,5.89
SYN027,2,6.96
SYN027,3,7.99
SYN027,4,8.96
SYN027,5,9.85
SYN027,6,10.65
SYN027,7,11.34
SYN027,8,11.9
SYN027,9,12.34
SYN027,10,12.63
SYN027,11,12.78
SYN027,12,12.78
SYN027,13,12.63
SYN027,14,12.34
SYN027,15,11.9
SYN027,16,11.34
SYN027,17,10.65
SYN027,18,9.85
SYN027,19,8.96
SYN027,20,7.99
SYN027,21,6.96
SYN027,22,5.89
SYN027,23,4.8
SYN028,0,2.0
SYN028,1,2.0
SYN028,2,2.0
SYN028,3,2.0
SYN028,4,2.0
SYN028,5,2.0
SYN028,6,2.0
SYN028,7,2.0
SYN028,8,2.0
SYN028,9,2.0
SYN028,10,2.0
SYN028,11,8.0
SYN028,12,8.0
SYN028,13,8.0
SYN028,14,2.0
SYN028,15,2.0
SYN028,16,2.0
SYN028,17,15.0
SYN028,18,15.0
SYN028,19,15.0
SYN028,20,15.0
SYN028,21,2.0
SYN028,22,2.0
SYN028,23,2.0
SYN029,0,18.6
SYN029,1,22.82
SYN029,2,26.96
SYN029,3,30.95
SYN029,4,34.71
SYN029,5,38.16
SYN029,6,41.26
SYN029,7,43.93
SYN029,8,46.12
SYN029,9,47.81
SYN029,10,48.95
SYN029,11,49.53
SYN029,12,49.53
SYN029,13,48.95
SYN029,14,47.81
SYN029,15,46.12
SYN029,16,43.93
SYN029,17,41.26
SYN029,18,38.16
SYN029,19,34.71
SYN029,20,30.95
SYN029,21,26.96
SYN029,22,22.82
SYN029,23,18.6
SYN030,0,4.8
SYN030,1,5.89
SYN030,2,6.96
SYN030,3,7.99
SYN030,4,8.96
SYN030,5,9.85
SYN030,6,10.65
SYN030,7,11.34
SYN030,8,11.9
SYN030,9,12.34
SYN030,10,12.63
SYN030,11,12.78
SYN030,12,12.78
SYN030,13,12.63
SYN030,14,12.34
SYN030,15,11.9
SYN030,16,11.34
SYN030,17,10.65
SYN030,18,9.85
SYN030,19,8.96
SYN030,20,7.99
SYN030,21,6.96
SYN030,22,5.89
SYN030,23,4.8
SYN031,0,4.8
SYN031,1,5.89
SYN031,2,6.96
SYN031,3,7.99
SYN031,4,8.96
SYN031,5,9.85
SYN031,6,10.65
SYN031,7,11.34
SYN031,8,11.9
SYN031,9,12.34
SYN031,10,12.63
SYN031,11,12.78
SYN031,12,12.78
SYN031,13,12.63
SYN031,14,12.34
SYN031,15,11.9
SYN031,16,11.34
SYN031,17,10.65
SYN031,18,9.85
SYN031,19,8.96
SYN031,20,7.99
SYN031,21,6.96
SYN031,22,5.89
SYN031,23,4.8
SYN032,0,12.0
SYN032,1,14.72
SYN032,2,17.4
SYN032,3,19.97
SYN032,4,22.39
SYN032,5,24.62
SYN032,6,26.62
SYN032,7,28.34
SYN032,8,29.76
SYN032,9,30.85
SYN032,10,31.58
SYN032,11,31.95
SYN032,12,31.95
SYN032,13,31.58
SYN032,14,30.85
SYN032,15,29.76
SYN032,16,28.34
SYN032,17,26.62
SYN032,18,24.62
SYN032,19,22.39
SYN032,20,19.97
SYN032,21,17.4
SYN032,22,14.72
SYN032,23,12.0
SYN033,0,4.8
SYN033,1,5.89
SYN033,2,6.96
SYN033,3,7.99
SYN033,4,8.96
SYN033,5,9.85
SYN033,6,10.65
SYN033,7,11.34
SYN033,8,11.9
SYN033,9,12.34
SYN033,10,12.63
SYN033,11,12.78
SYN033,12,12.78
SYN033,13,12.63
SYN033,14,12.34
SYN033,15,11.9
SYN033,16,11.34
SYN033,17,10.65
SYN033,18,9.85
SYN033,19,8.96
SYN033,20,7.99
SYN033,21,6.96
SYN033,22,5.89
SYN033,23,4.8
SYN034,0,9.6
SYN034,1,11.78
SYN034,2,13.92
SYN034,3,15.97
SYN034,4,17.91
SYN034,5,19.7
SYN034,6,21.29
SYN034,7,22.67
SYN034,8,23.81
SYN034,9,24.68
SYN034,10,25.27
SYN034,11,25.56
SYN034,12,25.56
SYN034,13,25.27
SYN034,14,24.68
SYN034,15,23.81
SYN034,16,22.67
SYN034,17,21.29
SYN034,18,19.7
SYN034,19,17.91
SYN034,20,15.97
SYN034,21,13.92
SYN034,22,11.78
SYN034,23,9.6
SYN035,0,4.8
SYN035,1,5.89
SYN035,2,6.96
SYN035,3,7.99
SYN035,4,8.96
SYN035,5,9.85
SYN035,6,10.65
SYN035,7,11.34
SYN035,8,11.9
SYN035,9,12.34
SYN035,10,12.63
SYN035,11,12.78
SYN035,12,12.78
SYN035,13,12.63
SYN035,14,12.34
SYN035,15,11.9
SYN035,16,11.34
SYN035,17,10.65
SYN035,18,9.85
SYN035,19,8.96
SYN035,20,7.99
SYN035,21,6.96
SYN035,22,5.89
SYN035,23,4.8
SYN036,0,9.6
SYN036,1,11.78
SYN036,2,13.92
SYN036,3,15.97
SYN036,4,17.91
SYN036,5,19.7
SYN036,6,21.29
SYN036,7,22.67
SYN036,8,23.81
SYN036,9,24.68
SYN036,10,25.27
SYN036,11,25.56
SYN036,12,25.56
SYN036,13,25.27
SYN036,14,24.68
SYN036,15,23.81
SYN036,16,22.67
SYN036,17,21.29
SYN036,18,19.7
SYN036,19,17.91
SYN036,20,15.97
SYN036,21,13.92
SYN036,22,11.78
SYN036,23,9.6
SYN037,0,4.8
SYN037,1,5.89
SYN037,2,6.96
SYN037,3,7.99
SYN037,4,8.96
SYN037,5,9.85
SYN037,6,10.65
SYN037,7,11.34
SYN037,8,11.9
SYN037,9,12.34
SYN037,10,12.63
SYN037,11,12.78
SYN037,12,12.78
SYN037,13,12.63
SYN037,14,12.34
SYN037,15,11.9
SYN037,16,11.34
SYN037,17,10.65
SYN037,18,9.85
SYN037,19,8.96
SYN037,20,7.99
SYN037,21,6.96
SYN037,22,5.89
SYN037,23,4.8
SYN038,0,4.8
SYN038,1,5.89
SYN038,2,6.96
SYN038,3,7.99
SYN038,4,8.96
SYN038,5,9.85
SYN038,6,10.65
SYN038,7,11.34
SYN038,8,11.9
SYN038,9,12.34
SYN038,10,12.63
SYN038,11,12.78
SYN038,12,12.78
SYN038,13,12.63
SYN038,14,12.34
SYN038,15,11.9
SYN038,16,11.34
SYN038,17,10.65
SYN038,18,9.85
SYN038,19,8.96
SYN038,20,7.99
SYN038,21,6.96
SYN038,22,5.89
SYN038,23,4.8
SYN039,0,4.8
SYN039,1,5.89
SYN039,2,6.96
SYN039,3,7.99
SYN039,4,8.96
SYN039,5,9.85
SYN039,6,10.65
SYN039,7,11.34
SYN039,8,11.9
SYN039,9,12.34
SYN039,10,12.63
SYN039,11,12.78
SYN039,12,12.78
SYN039,13,12.63
SYN039,14,12.34
SYN039,15,11.9
SYN039,16,11.34
SYN039,17,10.65
SYN039,18,9.85
SYN039,19,8.96
SYN039,20,7.99
SYN039,21,6.96
SYN039,22,5.89
SYN039,23,4.8
SYN040,0,4.8
SYN040,1,5.89
SYN040,2,6.96
SYN040,3,7.99
SYN040,4,8.96
SYN040,5,9.85
SYN040,6,10.65
SYN040,7,11.34
SYN040,8,11.9
SYN040,9,12.34
SYN040,10,12.63
SYN040,11,12.78
SYN040,12,12.78
SYN040,13,12.63
SYN040,14,12.34
SYN040,15,11.9
SYN040,16,11.34
SYN040,17,10.65
SYN040,18,9.85
SYN040,19,8.96
SYN040,20,7.99
SYN040,21,6.96
SYN040,22,5.89
SYN040,23,4.8
SYN041,0,4.8
SYN041,1,5.89
SYN041,2,6.96
SYN041,3,7.99
SYN041,4,8.96
SYN041,5,9.85
SYN041,6,10.65
SYN041,7,11.34
SYN041,8,11.9
SYN041,9,12.34
SYN041,10,12.63
SYN041,11,12.78
SYN041,12,12.78
SYN041,13,12.63
SYN041,14,12.34
SYN041,15,11.9
SYN041,16,11.34
SYN041,17,10.65
SYN041,18,9.85
SYN041,19,8.96
SYN041,20,7.99
SYN041,21,6.96
SYN041,22,5.89
SYN041,23,4.8
SYN042,0,4.8
SYN042,1,5.89
SYN042,2,6.96
SYN042,3,7.99
SYN042,4,8.96
SYN042,5,9.85
SYN042,6,10.65
SYN042,7,11.34
SYN042,8,11.9
SYN042,9,12.34
SYN042,10,12.63
SYN042,11,12.78
SYN042,12,12.78
SYN042,13,12.63
SYN042,14,12.34
SYN042,15,11.9
SYN042,16,11.34
SYN042,17,10.65
SYN042,18,9.85
SYN042,19,8.96
SYN042,20,7.99
SYN042,21,6.96
SYN042,22,5.89
SYN042,23,4.8
SYN043,0,16.8
SYN043,1,20.61
SYN043,2,24.35
SYN043,3,27.96
SYN043,4,31.35
SYN043,5,34.47
SYN043,6,37.26
SYN043,7,39.68
SYN043,8,41.66
SYN043,9,43.18
SYN043,10,44.21
SYN043,11,44.73
SYN043,12,44.73
SYN043,13,44.21
SYN043,14,43.18
SYN043,15,41.66
SYN043,16,39.68
SYN043,17,37.26
SYN043,18,34.47
SYN043,19,31.35
SYN043,20,27.96
SYN043,21,24.35
SYN043,22,20.61
SYN043,23,16.8
SYN044,0,9.6
SYN044,1,11.78
SYN044,2,13.92
SYN044,3,15.97
SYN044,4,17.91
SYN044,5,19.7
SYN044,6,21.29
SYN044,7,22.67
SYN044,8,23.81
SYN044,9,24.68
SYN044,10,25.27
SYN044,11,25.56
SYN044,12,25.56
SYN044,13,25.27
SYN044,14,24.68
SYN044,15,23.81
SYN044,16,22.67
SYN044,17,21.29
SYN044,18,19.7
SYN044,19,17.91
SYN044,20,15.97
SYN044,21,13.92
SYN044,22,11.78
SYN044,23,9.6
SYN045,0,4.8
SYN045,1,5.89
SYN045,2,6.96
SYN045,3,7.99
SYN045,4,8.96
SYN045,5,9.85
SYN045,6,10.65
SYN045,7,11.34
SYN045,8,11.9
SYN045,9,12.34
SYN045,10,12.63
SYN045,11,12.78
SYN045,12,12.78
SYN045,13,12.63
SYN045,14,12.34
SYN045,15,11.9
SYN045,16,11.34
SYN045,17,10.65
SYN045,18,9.85
SYN045,19,8.96
SYN045,20,7.99
SYN045,21,6.96
SYN045,22,5.89
SYN045,23,4.8
SYN046,0,4.8
SYN046,1,5.89
SYN046,2,6.96
SYN046,3,7.99
SYN046,4,8.96
SYN046,5,9.85
SYN046,6,10.65
SYN046,7,11.34
SYN046,8,11.9
SYN046,9,12.34
SYN046,10,12.63
SYN046,11,12.78
SYN046,12,12.78
SYN046,13,12.63
SYN046,14,12.34
SYN046,15,11.9
SYN046,16,11.34
SYN046,17,10.65
SYN046,18,9.85
SYN046,19,8.96
SYN046,20,7.99
SYN046,21,6.96
SYN046,22,5.89
SYN046,23,4.8
SYN047,0,4.8
SYN047,1,5.89
SYN047,2,6.96
SYN047,3,7.99
SYN047,4,8.96
SYN047,5,9.85
SYN047,6,10.65
SYN047,7,11.34
SYN047,8,11.9
SYN047,9,12.34
SYN047,10,12.63
SYN047,11,12.78
SYN047,12,12.78
SYN047,13,12.63
SYN047,14,12.34
SYN047,15,11.9
SYN047,16,11.34
SYN047,17,10.65
SYN047,18,9.85
SYN047,19,8.96
SYN047,20,7.99
SYN047,21,6.96
SYN047,22,5.89
SYN047,23,4.8
SYN048,0,4.8
SYN048,1,5.89
SYN048,2,6.96
SYN048,3,7.99
SYN048,4,8.96
SYN048,5,9.85
SYN048,6,10.65
SYN048,7,11.34
SYN048,8,11.9
SYN048,9,12.34
SYN048,10,12.63
SYN048,11,12.78
SYN048,12,12.78
SYN048,13,12.63
SYN048,14,12.34
SYN048,15,11.9
SYN048,16,11.34
SYN048,17,10.65
SYN048,18,9.85
SYN048,19,8.96
SYN048,20,7.99
SYN048,21,6.96
SYN048,22,5.89
SYN048,23,4.8
SYN049,0,30.0
SYN049,1,36.81
SYN049,2,43.49
SYN049,3,49.92
SYN049,4,55.98
SYN049,5,61.55
SYN049,6,66.54
SYN049,7,70.85
SYN049,8,74.39
SYN049,9,77.11
SYN049,10,78.95
SYN049,11,79.88
SYN049,12,79.88
SYN049,13,78.95
SYN049,14,77.11
SYN049,15,74.39
SYN049,16,70.85
SYN049,17,66.54
SYN049,18,61.55
SYN049,19,55.98
SYN049,20,49.92
SYN049,21,43.49
SYN049,22,36.81
SYN049,23,30.0
SYN050,0,4.8
SYN050,1,5.89
SYN050,2,6.96
SYN050,3,7.99
SYN050,4,8.96
SYN050,5,9.85
SYN050,6,10.65
SYN050,7,11.34
SYN050,8,11.9
SYN050,9,12.34
SYN050,10,12.63
SYN050,11,12.78
SYN050,12,12.78
SYN050,13,12.63
SYN050,14,12.34
SYN050,15,11.9
SYN050,16,11.34
SYN050,17,10.65
SYN050,18,9.85
SYN050,19,8.96
SYN050,20,7.99
SYN050,21,6.96
SYN050,22,5.89
SYN050,23,4.8
SYN051,0,4.8
SYN051,1,5.89
SYN051,2,6.96
SYN051,3,7.99
SYN051,4,8.96
SYN051,5,9.85
SYN051,6,10.65
SYN051,7,11.34
SYN051,8,11.9
SYN051,9,12.34
SYN051,10,12.63
SYN051,11,12.78
SYN051,12,12.78
SYN051,13,12.63
SYN051,14,12.34
SYN051,15,11.9
SYN051,16,11.34
SYN051,17,10.65
SYN051,18,9.85
SYN051,19,8.96
SYN051,20,7.99
SYN051,21,6.96
SYN051,22,5.89
SYN051,23,4.8
SYN052,0,4.8
SYN052,1,5.89
SYN052,2,6.96
SYN052,3,7.99
SYN052,4,8.96
SYN052,5,9.85
SYN052,6,10.65
SYN052,7,11.34
SYN052,8,11.9
SYN052,9,12.34
SYN052,10,12.63
SYN052,11,12.78
SYN052,12,12.78
SYN052,13,12.63
SYN052,14,12.34
SYN052,15,11.9
SYN052,16,11.34
SYN052,17,10.65
SYN052,18,9.85
SYN052,19,8.96
SYN052,20,7.99
SYN052,21,6.96
